epoch,total_loss,labeled_loss,unlabeled_pde_loss,l2_error,learning_rate
1,25.591774378882516,15.482938395606148,10.108836012416416,29.22465455532074,0.001
2,18.0254311826494,10.528917071554396,7.4965141137441,21.810369968414307,0.001
3,15.510520744323731,9.024045862091912,6.486474829249912,30.76357626914978,0.001
4,14.179930305480957,8.349479993184408,5.830450272560119,20.183150470256805,0.001
5,12.813368479410807,7.431426869498359,5.381941594017876,15.295375347137451,0.001
6,14.205270809597438,8.210942647192214,5.994328191545274,20.278480172157288,0.001
7,14.29769820107354,8.256960063510471,6.0407381375630695,16.710858643054962,0.001
8,12.879574818081325,7.406454184320238,5.4731206284628975,19.35109043121338,0.001
9,11.594515148798624,6.669591090414259,4.924924029244317,25.114752888679504,0.001
10,11.31196837425232,6.595656288994683,4.716312062740326,19.609071791172028,0.001
11,16.225475051667956,9.232662669817607,6.992812376552158,15.327033817768097,0.001
12,11.326724359724256,6.478043900595771,4.848680452505747,16.487390756607056,0.001
13,12.025410175323486,6.828858945104811,5.196551222271389,14.378476738929749,0.001
14,12.281620603137545,6.98825401465098,5.2933665805392796,15.805220425128937,0.001
15,11.942043542861938,6.801355539427863,5.140687991513146,13.112320840358734,0.001
16,12.027246231502957,6.857839941978455,5.169406252437168,12.422325491905212,0.001
17,9.211765548917983,5.310814804501003,3.900950743092431,11.376149743795395,0.001
18,9.811063188976712,5.860038142734104,3.951025042268965,12.075562804937363,0.001
19,9.63858851061927,5.570008489820692,4.068580014175839,13.073132038116455,0.001
20,9.76633776028951,5.735366320610046,4.030971460872227,14.004032135009766,0.001
21,9.802443642086454,5.64732268916236,4.155120925108592,24.702492475509644,0.001
22,10.223133405049643,5.932538549105327,4.290594842698839,17.397289991378784,0.001
23,11.392102490531073,6.5708621157540215,4.821240410539839,13.33922553062439,0.001
24,12.315978844960531,7.035079624917772,5.280899194876353,13.08063668012619,0.001
25,10.748799594243367,6.128004100587633,4.620795463191138,14.112894713878632,0.001
26,9.21687687502967,5.339702486991882,3.8771743641959295,12.663864016532898,0.001
27,9.525112533569336,5.448927264743381,4.076185280746884,11.689253896474838,0.001
28,9.559709050920274,5.497881033685473,4.061828007962968,13.788812279701233,0.001
29,9.422009298536512,5.44949164920383,3.972517630789015,11.32833644747734,0.001
30,9.925116435686748,5.777737183041043,4.147379228803847,15.725104629993439,0.001
31,9.347196364402771,5.374154535929362,3.9730418827798633,10.574271857738495,0.001
32,9.9700046327379,5.701617058118185,4.268387615680695,11.967965960502625,0.001
