epoch,total_loss,labeled_loss,unlabeled_pde_loss,l2_error,learning_rate
1,15.061050277286105,9.892693961991204,5.168356353706784,32.063812017440796,0.001
2,11.647415431340535,7.09791792233785,4.54949748383628,23.618886470794678,0.001
3,8.823887035581802,5.460802602767944,3.3630844076474506,14.603654026985168,0.001
4,7.294770156012641,4.569005937046475,2.7257642163170708,16.615083396434784,0.001
5,7.48756108019087,4.599732859929403,2.8878282335069443,13.642421901226044,0.001
6,7.094929480552674,4.355938891569774,2.7389906022283768,10.591400623321533,0.001
7,8.122641989919874,4.944129321310255,3.1785126527150473,16.785606682300568,0.001
8,7.603275654051039,4.6550448285208805,2.948230805661943,12.045627474784851,0.001
9,6.080356929037306,3.8141670783360797,2.2661898500389523,16.92736518383026,0.001
10,5.687332142723931,3.5412881957160103,2.1460439695252314,9.937199622392654,0.001
11,6.950040178828769,4.268812897470262,2.6812272833453283,13.852209687232971,0.001
12,6.1895240518781875,3.8427972965770296,2.3467267645729915,12.522250890731812,0.001
13,5.92241833474901,3.6990138716167875,2.223404469092687,13.689563393592834,0.001
14,5.49356050491333,3.4320337692896525,2.061526718404558,13.298050701618195,0.001
15,6.9819221761491566,4.302572512626648,2.679349652926127,13.505208849906921,0.001
16,7.045880699157715,4.299657963381874,2.7462227278285556,13.674741983413696,0.001
17,7.149590378337436,4.348543482356601,2.8010469039281207,19.22907465696335,0.001
18,6.897380428844028,4.249286399947272,2.6480940567122566,16.341351747512817,0.001
19,6.215969983736674,3.931564989354875,2.2844049990177155,10.422617971897125,0.001
20,5.724962570932177,3.5292164352205067,2.195746123128467,16.7539381980896,0.001
21,5.810071818033854,3.5776501602596706,2.232421640555064,14.074831247329712,0.001
22,5.131470857726203,3.2076329204771254,1.9238379134072199,13.80044537782669,0.001
23,6.1848909484015575,3.770888716644711,2.414002258247799,11.446401715278625,0.001
24,6.1343479951222735,3.7520969655778673,2.382251028219859,23.909541487693787,0.001
25,5.5868944194581776,3.4957200593418545,2.0911743548181323,8.231048107147217,0.001
26,6.031188548935784,3.6835141274664136,2.3476744247807395,11.807524591684341,0.001
27,5.3403458886676365,3.336000160376231,2.0043457243177625,11.822690606117249,0.001
28,5.388547971513536,3.415846088197496,1.972701899210612,17.294781863689423,0.001
29,5.348996411429511,3.4929654942618478,1.8560309131940207,18.00300508737564,0.001
30,5.655664685037401,3.493345120218065,2.1623195628325145,20.50087285041809,0.001
31,6.150289172596402,3.7742674191792807,2.376021761364407,10.38726657629013,0.001
32,5.305386932690938,3.241380782922109,2.0640061683124964,10.712052017450333,0.001
33,5.342162561416626,3.3506122324201795,1.9915503329700894,9.022807389497757,0.001
34,5.854879872004191,3.611439922120836,2.24343994723426,17.356685400009155,0.001
35,5.241305372450086,3.2293676919407313,2.0119376666016047,11.718669801950455,0.001
36,5.185711171891954,3.192977073457506,1.9927340944608052,10.664267718791962,0.001
37,6.121707238091362,3.7190887570381164,2.402618487013711,11.864030092954636,0.001
38,5.573472886615329,3.3860146986113655,2.1874581899907852,11.943725883960724,0.001
39,5.558685207366944,3.454504687256283,2.104180503553814,11.282619148492813,0.001
40,5.388733463817172,3.3631443937619525,2.025589080651601,26.29968237876892,0.001
41,5.32007331583235,3.3491513861550226,1.9709219449096256,11.010855823755264,0.001
42,5.707781521479289,3.4860410968462627,2.221740433242586,15.03398460149765,0.001
43,5.128095944722493,3.1684199704064264,1.9596759955088296,9.423231571912766,0.001
44,4.791781302293142,3.0013132757610745,1.7904680338170793,10.688390702009201,0.001
45,4.788271350330777,2.9701823949813844,1.8180889632966784,8.982888251543045,0.001
46,5.506077173021104,3.3871230509546066,2.1189541180928546,16.59644466638565,0.001
47,5.218200323316786,3.21317521598604,2.0050251225630444,11.531575679779053,0.001
48,5.73861657778422,3.577238362365299,2.161378210120731,16.075701355934143,0.001
49,5.224533870485094,3.180381876892514,2.044152006175783,9.172133892774582,0.001
50,5.193916535377502,3.2403009163008796,1.9536156117916108,14.189783930778503,0.001
